,Date,Offline Spend,Online Spend,Revenue,Total Spending
311,2017-11-08,3500,2087.49,13023.789999999997,5587.49
312,2017-11-09,3500,2926.69,6969.749999999998,6426.6900000000005
313,2017-11-10,3500,2431.73,11135.699999999997,5931.73
314,2017-11-11,3500,2643.34,6009.22,6143.34
315,2017-11-12,4000,3390.82,8238.229999999998,7390.82
316,2017-11-13,4000,2400.95,11059.640000000001,6400.95
317,2017-11-14,4000,855.19,16168.859999999997,4855.1900000000005
318,2017-11-15,4000,737.08,9328.519999999999,4737.08
319,2017-11-16,4000,2716.48,10567.009999999998,6716.48
320,2017-11-17,4000,2964.3,8688.16,6964.3
321,2017-11-18,4000,2825.78,7895.629999999999,6825.780000000001
322,2017-11-19,2500,1915.27,6792.729999999999,4415.27
323,2017-11-20,2500,1893.03,13127.64,4393.03
324,2017-11-21,2500,484.9,15216.06,2984.9
325,2017-11-22,2500,2071.31,19240.160000000003,4571.3099999999995
326,2017-11-23,2500,2972.6,11115.13,5472.6
327,2017-11-24,2500,3875.08,11850.099999999999,6375.08
328,2017-11-25,2500,2643.59,9553.660000000002,5143.59
329,2017-11-26,3000,1642.31,9756.499999999996,4642.3099999999995
330,2017-11-27,3000,2819.58,28935.559999999998,5819.58
331,2017-11-28,3000,1375.26,13429.13,4375.26
332,2017-11-29,3000,4556.93,14495.869999999997,7556.93
333,2017-11-30,3000,1661.61,7157.23,4661.61
334,2017-12-01,3000,2358.1,6849.519999999999,5358.1
335,2017-12-02,3000,1907.19,6362.540000000001,4907.1900000000005
336,2017-12-03,3500,2011.57,7971.379999999997,5511.57
337,2017-12-04,3500,909.19,11561.21,4409.1900000000005
338,2017-12-05,3500,2973.53,10328.189999999999,6473.530000000001
339,2017-12-06,3500,1957.58,20191.66,5457.58
340,2017-12-07,3500,3396.14,11747.439999999995,6896.139999999999
341,2017-12-08,3500,2671.9,15538.1,6171.9
342,2017-12-09,3500,2481.51,7359.320000000001,5981.51
343,2017-12-10,4000,3897.2,8267.199999999997,7897.2
344,2017-12-11,4000,1612.93,18395.54,5612.93
345,2017-12-12,4000,2904.23,9057.41,6904.23
346,2017-12-13,4000,3100.42,13240.119999999999,7100.42
347,2017-12-14,4000,3434.31,15868.219999999998,7434.3099999999995
348,2017-12-15,4000,3577.45,22422.81,7577.45
349,2017-12-16,4000,3116.98,10777.209999999997,7116.98
350,2017-12-17,4500,1658.91,7259.879999999997,6158.91
351,2017-12-18,4500,663.46,14227.199999999997,5163.46
352,2017-12-19,4500,2829.71,13173.789999999999,7329.71
353,2017-12-20,4500,2876.39,10672.419999999998,7376.389999999999
354,2017-12-21,4500,3112.73,10557.319999999994,7612.73
355,2017-12-22,4500,2309.46,9577.549999999997,6809.46
356,2017-12-23,4500,2199.69,6250.239999999999,6699.6900000000005
357,2017-12-24,4000,3749.46,4538.13,7749.46
358,2017-12-25,4000,1133.7,7457.119999999998,5133.7
359,2017-12-26,4000,1881.66,5529.34,5881.66
360,2017-12-27,4000,3396.87,8334.89,7396.87
361,2017-12-28,4000,3246.84,6845.489999999999,7246.84
362,2017-12-29,4000,2546.58,6974.159999999999,6546.58
363,2017-12-30,4000,674.31,5169.610000000001,4674.3099999999995
364,2017-12-31,4000,2058.75,7221.17,6058.75
